country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,applied_tariff
AGO,Angola,7411808.38,337.9154454283308,5848291.238446022,-21.09494824195627,3129.47662331063,2.1,56.0964488,
ARG,Argentina,90204967.72,5.101872388307035,98596663.53284676,9.302919811351122,14898.0885943842,2.8,62.9948599,
ARM,Armenia,2614513622.37,-64.51965691987583,3435236665.971134,31.39104101730274,9474.01849300368,2.5,53.5393178,
AUS,Australia,16566047138.281,84.0049000611369,16195214774.944956,-2.2385084398264263,65129.7227990563,3.7,79.4447025,
AUT,Austria,6011276721.376,99.5460791978427,5776934069.511456,-3.8983840326502732,62930.0351324599,4.0,74.2916722,
BEL,Belgium,9892325455.937,4.388691742396259,10813053868.57821,9.307502232335311,60750.2735864647,4.0,67.9689981,
BGR,Bulgaria,695605299.291,97.48721892234677,670365995.6329997,-3.628394390285075,20328.1667065538,3.2,66.5764069,
BIH,Bosnia Herzegovina,42217142.456,9.201102480781154,45827773.439181454,8.552523390100514,10381.8460703874,3.0,57.3354627,
BOL,Bolivia (Plurinational State of),11599553.0,9.550012594014769,12588340.14595582,8.52435560194276,5147.81081955367,2.4,56.5672297,
BRA,Brazil,1139386438.0,41.948427641200574,1175304802.444722,3.1524303999765477,10713.2856869511,3.2,57.0022212,
CAN,Canada,26007650531.912,36.227233147525624,27023128634.172283,3.9045360941553287,55697.6639660837,4.0,76.1173365,
CHE,Switzerland,237128109405.216,91.05286528177147,229813481410.36435,-3.084673518124358,114769.012314293,4.1,82.6457687,
CHL,Chile,134983713.871,15.20814226547998,145025328.65170556,7.439130612676764,17994.5911957485,3.0,67.9673582,
COL,Colombia,121579396.18,20.740225568631374,129475066.23514783,6.49425009765485,8561.62091854449,2.9,49.3103253,
CYP,Cyprus,82662461.587,11.296006608300157,89399652.17381625,8.150241908445397,41783.08984375,3.2,72.4855218,
CZE,Czechia,1315403649.0,49.31925931287073,1343255435.1641872,2.117356614097943,35917.2724081665,3.3,82.4960109,
DEU,Germany,33573272693.582,65.9681773212376,33529614192.72124,-0.13003945507256331,60496.4350820414,4.1,68.0170742,
DNK,Denmark,340139563.93,15.828350545508755,364987028.4305713,7.3050791896954586,76970.1535217919,4.1,79.0280276,
DOM,Dominican Rep.,635307821.841,-22.11288985695658,732422632.52067,15.286260823650816,11059.2081531834,2.6,75.9612671,
EGY,Egypt,1109949870.498,477.0767701106796,800172551.0526121,-27.90912704070143,3085.80712036204,3.1,49.1898949,
ESP,Spain,4470870098.321,34.863423862160474,4656677908.199029,4.155965299636138,38627.2472148623,3.9,65.8432851,
EST,Estonia,594826575.06,131.35498638129818,553460590.6544079,-6.954293257899499,34417.6320815138,3.6,77.8442761,
FIN,Finland,163225045.52,42.37972558002848,168354322.42751095,3.142457023779751,56148.580949046,4.2,80.1160128,
FJI,Fiji,18490601.837,44.22230243470226,19033947.135433823,2.9384943941985635,6642.00449450523,2.3,77.8248628,
FRA,France,17452174745.696,15.048450118780817,18731815679.376446,7.3322720653827265,48985.7307807924,3.9,61.771486,
GBR,United Kingdom,180661915503.29,96.277970658514,174088012786.89874,-3.638787233090944,57601.9621201954,3.7,70.2964669,
GEO,Georgia,17145537.918,-8.18128246154333,19215687.111135792,12.073982181465846,9691.53472415196,2.7,55.4274855,
GHA,Ghana,1993936.177,-89.9205087782503,3190400.4844172522,60.00514566205458,3257.1588903576,2.5,66.090157,
GRC,Greece,266334272.308,10.559118928619615,288311080.29398745,8.251588425154898,26948.0070432791,3.7,68.2759168,
GTM,Guatemala,76286437.0,13.036913558432362,82266663.41156761,7.839173838421125,6598.18032988711,2.6,62.3112389,
GUY,Guyana,464087.065,92.06802066020839,450788.6531942972,-2.86549934454708,32413.7930757518,2.4,69.5925307,
HKG,"China, Hong Kong SAR",154096625820.107,39.217044882339174,159361116293.33368,3.416356747079246,56983.0663059906,4.0,76.6745657,
HRV,Croatia,553303882.0,111.18608387136362,525491981.0321673,-5.02651470062028,27103.9116109268,3.3,75.8257878,
HUN,Hungary,384205671.666,60.69896225150531,386693737.2074358,0.6475868850782396,25907.4743259406,3.2,73.3475875,
IDN,Indonesia,5161229287.048,7.896335887774841,5608196263.362879,8.660087577130762,5059.62596411213,3.0,55.4895207,
IND,India,93961452352.612,5.0545390343100545,102526976524.87895,9.11599805856858,2702.47987141553,3.4,52.4723123,
IRL,Ireland,1136109239.504,-3.6259866145209414,1260826982.8959744,10.97761896967086,131592.462547877,3.6,78.0218154,
ISL,Iceland,14497300.268,21.529802984663622,15428152.62732875,6.4208669346763,98323.4849517418,3.6,86.4880288,
ISR,Israel,3505642000.0,-12.813149895618775,3960053512.1815357,12.96229084948023,60336.8477964194,3.6,48.1722073,
ITA,Italy,23032975374.737,14.701813759631827,24734060772.53101,7.385434882458966,43308.6403060733,3.7,71.1675431,
JAM,Jamaica,15296264.523,-17.562238934740073,17476109.275712587,14.250830648456006,8002.92104076242,2.5,74.0392932,
JPN,Japan,16128178976.86,6.425916255327883,17564312179.745884,8.904496936364508,35951.0449549304,3.9,85.270442,
KAZ,Kazakhstan,1016176665.31,35.31758555444643,1058120329.7455511,4.127595709231881,14692.1331757237,2.7,61.0644717,
KGZ,Kyrgyzstan,40941192.0,70.09025447361942,40752147.16484555,-0.4617472670420818,3080.96893823359,2.3,57.2762971,
KOR,Rep. of Korea,13233780489.0,101.82428066218688,12683921526.202394,-4.154965115634581,36226.9663637512,3.8,76.8155059,
KWT,Kuwait,3284538289.653,38.27901420613194,3404638874.2321224,3.6565439032166305,32312.3119953634,3.2,70.9153025,
LKA,Sri Lanka,146595897.544,-31.745632570686215,172982831.37046558,17.99977643886363,5002.07904353724,2.8,59.9106677,
LTU,Lithuania,177326628.0,40.78433825315396,183301779.05793107,3.369573495713834,32958.6706396386,3.4,81.941602,
LUX,Luxembourg,184141600.625,116.46587077867763,173978652.90817955,-5.5190938290566125,147252.179121515,3.6,84.2238592,
LVA,Latvia,103372071.173,39.58082819935486,107050710.82381336,3.558639784489685,26311.9730706362,3.5,76.4873804,
MDA,Rep. of Moldova,40574552.0,5.659131726765567,44315049.371164955,9.218826054234572,8621.71721623786,2.5,60.0013863,
MEX,Mexico,2123108781.0,14.09855178522544,2283572918.11818,7.557980003389181,13889.2339628708,2.9,53.6732923,
MKD,North Macedonia,1353329555.049,27.706830987536314,1424965524.9010313,5.293313042988816,10489.9255355525,3.1,68.5558552,
MLT,Malta,76678081.145,-18.37146051455791,87721467.88043125,14.402273205752186,47906.9000057635,3.3,79.6436621,
MNE,Montenegro,24635495.043,42.09844554405466,25431989.821535815,3.2331186247549404,14816.8380299947,2.8,71.56303,
MUS,Mauritius,48771020.992,-39.97288399755099,58838896.50006569,20.64315100091332,12991.2935987166,2.5,79.394872,
MYS,Malaysia,8162085951.251,25.189129594680516,8623021739.454376,5.647279273415742,13124.5554178269,3.6,72.4670498,
NGA,Nigeria,2094141.351,-63.851568432575235,2748344.90281051,31.239703637871084,1224.25410237743,2.6,31.6874346,
NLD,Netherlands,2639417044.857,23.62770485716117,2795985432.6083164,5.931930615375685,73683.917132794,4.1,73.2073612,
NOR,Norway,458292783.856,27.039385531988007,483172957.4195752,5.428881806568615,94594.1929573987,3.7,81.3235982,
NZL,New Zealand,419761386.078,59.836097921591204,422933311.04351944,0.7556495358365387,49591.0405731713,3.6,85.5494444,
PAN,Panama,31100539.0,2.2690376844349847,34174508.9828459,9.883976553737227,19789.7308555826,3.1,70.4155683,
PHL,Philippines,297946406.0,-12.853558212688482,336809285.44029707,13.043580542568137,4170.72347271451,3.3,52.6707116,
POL,Poland,2607353667.0,43.94640496232145,2681558450.650841,2.8459807578087655,28419.5777395638,3.6,74.4122187,
PRT,Portugal,498915821.724,28.735234017649315,524649861.5677864,5.157992335232551,32081.8106150292,3.4,75.0659657,
