country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,applied_tariff
AGO,Angola,191059.65,-35.59685553245294,239760.97137372862,25.4901133618368,3129.47662331063,2.1,56.0964488,
ARG,Argentina,2419083.59,35.96959105548629,2378222.3154896786,-1.6891220575937689,14898.0885943842,2.8,62.9948599,
ARM,Armenia,1557389.48,-48.63530650099125,1961785.2789024205,25.966259827465933,9474.01849300368,2.5,53.5393178,
AUS,Australia,29718110.582,22.338009980948883,28207625.811142355,-5.082707955776067,65129.7227990563,3.7,79.4447025,
AUT,Austria,75142022.713,-2.4269604214419624,73695984.60634258,-1.9244066827698567,62930.0351324599,4.0,74.2916722,
BEL,Belgium,17505075.13,20.993661050280064,16876357.756851457,-3.5916291045849507,60750.2735864647,4.0,67.9689981,
BGR,Bulgaria,5550471.921,10.951336489240147,5620757.645665289,1.266301778761648,20328.1667065538,3.2,66.5764069,
BIH,Bosnia Herzegovina,1113471.55,12.649937787216759,1168174.5622876824,4.912834305257497,10381.8460703874,3.0,57.3354627,
BOL,Bolivia (Plurinational State of),61155.0,0.8326463314097279,70744.60335964957,15.680816547542422,5147.81081955367,2.4,56.5672297,
BRA,Brazil,10328814.0,30.214048317858605,9906528.961986566,-4.0884174893016185,10713.2856869511,3.2,57.0022212,
CAN,Canada,40733524.642,-1.2686940178156085,40432782.936901435,-0.7383149573765824,55697.6639660837,4.0,76.1173365,
CHE,Switzerland,88219787.169,15.29150246467435,82741048.54156953,-6.210328547874428,114769.012314293,4.1,82.6457687,
CHL,Chile,16675833.427,44.75882253529221,15402824.750847662,-7.6338533946447145,17994.5911957485,3.0,67.9673582,
COL,Colombia,8790431.48,29.321448886173133,8478490.992761686,-3.5486368097862013,8561.62091854449,2.9,49.3103253,
CYP,Cyprus,3233815.101,114.39787510779571,2820956.9852229394,-12.766905431587332,41783.08984375,3.2,72.4855218,
CZE,Czechia,24029595.0,16.46604652177232,23204336.011715062,-3.434344142233517,35917.2724081665,3.3,82.4960109,
DEU,Germany,325015940.129,18.74404857008574,293184033.4229648,-9.793952473039013,60496.4350820414,4.1,68.0170742,
DNK,Denmark,27670628.694,0.7848645219825312,27587017.663663432,-0.3021652715635485,76970.1535217919,4.1,79.0280276,
DOM,Dominican Rep.,238166.633,-14.630223040934224,277589.5473493916,16.552660569119947,11059.2081531834,2.6,75.9612671,
EGY,Egypt,393709.758,64.85659201205569,385810.5121774131,-2.00636272332038,3085.80712036204,3.1,49.1898949,
ESP,Spain,161888363.828,33.06923417987757,144440884.17383236,-10.777476059184162,38627.2472148623,3.9,65.8432851,
EST,Estonia,1784378.59,33.91754751370017,1773888.8271845258,-0.5878664356466134,34417.6320815138,3.6,77.8442761,
FIN,Finland,3931370.845,-3.1340313074122994,4150092.744103969,5.56350208940843,56148.580949046,4.2,80.1160128,
FJI,Fiji,16610.459,634.4541445326904,12006.482423784455,-27.7173350610934,6642.00449450523,2.3,77.8248628,
FRA,France,259305675.594,17.74647139967723,235685024.24262393,-9.10919180510318,48985.7307807924,3.9,61.771486,
GBR,United Kingdom,151929014.048,24.33636062215991,138043817.7071097,-9.139265747162336,57601.9621201954,3.7,70.2964669,
GEO,Georgia,2139521.844,33.004540514181805,2121128.836110275,-0.8596784342868933,9691.53472415196,2.7,55.4274855,
GHA,Ghana,164031.349,65.83421567571855,163962.662065199,-0.04187427294827234,3257.1588903576,2.5,66.090157,
GRC,Greece,24553032.478,29.10740715263284,23106492.58647113,-5.89149178548515,26948.0070432791,3.7,68.2759168,
GTM,Guatemala,7544505.0,-35.19669587115313,8644429.676748097,14.57914968242578,6598.18032988711,2.6,62.3112389,
GUY,Guyana,57941.411,149.12280724383672,53693.76938318426,-7.330925401205259,32413.7930757518,2.4,69.5925307,
HKG,"China, Hong Kong SAR",64391900.16,10.107259294057851,61546322.09308582,-4.4191552972400725,56983.0663059906,4.0,76.6745657,
HRV,Croatia,7335589.0,36.42000896747737,7013896.8567315405,-4.385362147040401,27103.9116109268,3.3,75.8257878,
HUN,Hungary,3689705.21,6.310606068328754,3813369.326522953,3.3515988265889924,25907.4743259406,3.2,73.3475875,
