country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,applied_tariff
CAN,Canada,323818669.406,13.155705386436608,349379978.1135072,7.893710623416443,55697.6639660837,4.0,76.1173365,0.0
GBR,United Kingdom,798923348.329,23.242233214249865,852377982.5484179,6.690833899299823,57601.9621201954,3.7,70.2964669,0.0
IND,India,40289190.785,23.13740879945609,44074217.269584306,9.394645091738866,2702.47987141553,3.4,52.4723123,8.0
JPN,Japan,404939007.338,44.31678168935921,434042483.97811,7.187125990017932,35951.0449549304,3.9,85.270442,6.5
SGP,Singapore,102363179.431,9.255131740036514,111744467.34715609,9.164709388965148,98813.9788172877,4.3,86.9368376,0.0
