country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,available_indicators,data_coverage_percent,applied_tariff,mfn_rate,tariff_year,predicted_demand_2026_norm,predicted_growth_2026_norm,gdp_per_capita_norm,logistics_lpi_norm,political_stability_norm,applied_tariff_norm,predicted_demand_2026_contribution,predicted_growth_2026_contribution,gdp_per_capita_contribution,logistics_lpi_contribution,political_stability_contribution,applied_tariff_contribution,market_score,strongest_factor,rank
USA,USA,6433593498.0,-10.640702489649174,6041101666.857931,-6.100662580936798,90026.5163005744,3.8,64.2697196,5,100.0,0.0,0.0,2022,1.0,0.6758656228247327,0.9085701231060582,0.44444444444444436,0.34230581147740347,1.0,30.0,13.52,9.09,6.67,3.42,15.0,77.69,predicted_demand_2026,1
SGP,Singapore,222004815.332,1.3380279740155825,217514678.05477032,-2.0225404888244576,98813.9788172877,4.3,86.9368376,5,100.0,0.0,0.0,2022,0.025857931592746748,1.0,1.0,1.0,1.0,1.0,0.78,20.0,10.0,15.0,10.0,15.0,70.78,predicted_growth_2026,2
JPN,Japan,867743868.685,-1.575787294086375,827771763.0499222,-4.606440572798562,35951.0449549304,3.9,85.270442,5,100.0,0.0,0.0,2022,0.12793884841949663,0.7946283055080747,0.34593743150587747,0.5555555555555556,0.9516489612001126,1.0,3.84,15.89,3.46,8.33,9.52,15.0,56.04,predicted_growth_2026,3
CAN,Canada,772380931.709,4.968642713791873,719097740.6871144,-6.8985637571333065,55697.6639660837,4.0,76.1173365,5,100.0,3.0,4.75,2022,0.10976037231358746,0.6124474134253405,0.5513927539982897,0.6666666666666669,0.6860684716873205,0.8736842105263158,3.29,12.25,5.51,10.0,6.86,13.11,51.02,applied_tariff,4
AUS,Australia,603201415.975,4.4956844383530346,566700885.1664863,-6.051134802048698,65129.7227990563,3.7,79.4447025,5,100.0,5.0,5.0,2022,0.08426814761752671,0.6798021542478158,0.6495293863099397,0.33333333333333365,0.7826131352518586,0.7894736842105263,2.53,13.6,6.5,5.0,7.83,11.84,47.29,predicted_growth_2026,5
GBR,United Kingdom,1825778303.436,6.571137305582461,1647478107.1887133,-9.76570900813845,57601.9621201954,3.7,70.2964669,5,100.0,0.0,0.0,2022,0.2650554459909216,0.3845630295803713,0.5712061808514507,0.33333333333333365,0.5171739475547048,1.0,7.95,7.69,5.71,5.0,5.17,15.0,46.53,applied_tariff,6
IND,India,73693910.889,52.086557071376006,62931564.4981472,-14.60411893061745,2702.47987141553,3.4,52.4723123,5,100.0,23.75,25.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,predicted_demand_2026,7
