reporterISO,reporterDesc,refYear,import_value,previous_year,previous_import_value,growth_percent,next_year,next_year_import_value
BHR,Bahrain,2023,28716234.527,2022.0,20681352.889,38.85085120458244,2024.0,34434860.906
BHR,Bahrain,2024,34434860.906,2023.0,28716234.527,19.914262692147723,,
BHS,Bahamas,2021,16964164.0,,,,2022.0,31633542.0
BHS,Bahamas,2022,31633542.0,2021.0,16964164.0,86.47274336654608,2023.0,36203816.0
BHS,Bahamas,2023,36203816.0,2022.0,31633542.0,14.447556963428248,2024.0,36602283.0
BHS,Bahamas,2024,36602283.0,2023.0,36203816.0,1.1006215477396084,,
BIH,Bosnia Herzegovina,2021,30973527.88,,,,2022.0,30649625.17
BIH,Bosnia Herzegovina,2022,30649625.17,2021.0,30973527.88,-1.045740450538556,2023.0,35049344.363
BIH,Bosnia Herzegovina,2023,35049344.363,2022.0,30649625.17,14.354887436948047,2024.0,36915023.099
BIH,Bosnia Herzegovina,2024,36915023.099,2023.0,35049344.363,5.323006093002737,2025.0,38965705.484
BIH,Bosnia Herzegovina,2025,38965705.484,2024.0,36915023.099,5.555143171657799,,
BLR,Belarus,2021,32338600.0,,,,,
BLZ,Belize,2021,326448.645,,,,2022.0,424722.265
BLZ,Belize,2022,424722.265,2021.0,326448.645,30.103852935275622,2023.0,664133.35
BLZ,Belize,2023,664133.35,2022.0,424722.265,56.368856716282565,2024.0,727664.28
BLZ,Belize,2024,727664.28,2023.0,664133.35,9.565990022937418,2025.0,742966.825
BLZ,Belize,2025,742966.825,2024.0,727664.28,2.1029677312180177,,
BMU,Bermuda,2021,14647426.14,,,,2022.0,9373731.7
BMU,Bermuda,2022,9373731.7,2021.0,14647426.14,-36.00423985479814,2023.0,10056151.41
BMU,Bermuda,2023,10056151.41,2022.0,9373731.7,7.2801284679398375,2024.0,13456870.54
BMU,Bermuda,2024,13456870.54,2023.0,10056151.41,33.817302378902816,2025.0,14365629.68
BMU,Bermuda,2025,14365629.68,2024.0,13456870.54,6.753123895327306,,
BOL,Bolivia (Plurinational State of),2021,3330348.13,,,,2022.0,3400319.0
BOL,Bolivia (Plurinational State of),2022,3400319.0,2021.0,3330348.13,2.1010076805393947,2023.0,3390625.0
BOL,Bolivia (Plurinational State of),2023,3390625.0,2022.0,3400319.0,-0.2850908988244927,2024.0,2152275.0
BOL,Bolivia (Plurinational State of),2024,2152275.0,2023.0,3390625.0,-36.52276497695853,2025.0,2080165.0
BOL,Bolivia (Plurinational State of),2025,2080165.0,2024.0,2152275.0,-3.350408288903602,,
BRA,Brazil,2021,9921811.0,,,,2022.0,8049730.0
BRA,Brazil,2022,8049730.0,2021.0,9921811.0,-18.8683396609752,2023.0,7661560.0
BRA,Brazil,2023,7661560.0,2022.0,8049730.0,-4.822149314324829,2024.0,11133998.0
BRA,Brazil,2024,11133998.0,2023.0,7661560.0,45.322858530116584,2025.0,11631040.0
BRA,Brazil,2025,11631040.0,2024.0,11133998.0,4.4641825874227745,,
BRB,Barbados,2021,3206859.5,,,,2022.0,5206346.0
BRB,Barbados,2022,5206346.0,2021.0,3206859.5,62.35029941286795,2023.0,4285411.5
BRB,Barbados,2023,4285411.5,2022.0,5206346.0,-17.688691838767532,2024.0,4935583.5
BRB,Barbados,2024,4935583.5,2023.0,4285411.5,15.171751884270623,2025.0,8504804.0
BRB,Barbados,2025,8504804.0,2024.0,4935583.5,72.31607975024636,,
BRN,Brunei Darussalam,2021,4995860.38,,,,2022.0,4870878.441
BRN,Brunei Darussalam,2022,4870878.441,2021.0,4995860.38,-2.5017100057548096,2023.0,3579599.414
BRN,Brunei Darussalam,2023,3579599.414,2022.0,4870878.441,-26.510187898158634,2024.0,2568612.091
BRN,Brunei Darussalam,2024,2568612.091,2023.0,3579599.414,-28.24302962633125,,
BTN,Bhutan,2022,1277706.222,,,,2023.0,1270046.325
BTN,Bhutan,2023,1270046.325,2022.0,1277706.222,-0.5995037723155201,2025.0,
BTN,Bhutan,2025,1682515.266,2023.0,,,,
BWA,Botswana,2021,7261193.534,,,,2022.0,6130312.527
BWA,Botswana,2022,6130312.527,2021.0,7261193.534,-15.574312979054117,2023.0,5422024.428
BWA,Botswana,2023,5422024.428,2022.0,6130312.527,-11.553866069314667,,
CAF,Central African Rep.,2021,923610.919,,,,2022.0,548544.141
CAF,Central African Rep.,2022,548544.141,2021.0,923610.919,-40.608742305265025,2023.0,219075.447
CAF,Central African Rep.,2023,219075.447,2022.0,548544.141,-60.062385025091345,2024.0,604040.01
CAF,Central African Rep.,2024,604040.01,2023.0,219075.447,175.72236792012572,,
CAN,Canada,2021,790858281.107,,,,2022.0,806266446.92
CAN,Canada,2022,806266446.92,2021.0,790858281.107,1.948284058103616,2023.0,710731748.494
CAN,Canada,2023,710731748.494,2022.0,806266446.92,-11.84902320950474,2024.0,735820633.42
CAN,Canada,2024,735820633.42,2023.0,710731748.494,3.530007626528844,2025.0,772380931.709
CAN,Canada,2025,772380931.709,2024.0,735820633.42,4.968642713791873,,
CHE,Switzerland,2021,730074273.238,,,,2022.0,689973062.578
