country_code,country,import_value,growth_percent,predicted_demand_2026,predicted_growth_2026,gdp_per_capita,logistics_lpi,political_stability,available_indicators,data_coverage_percent,applied_tariff,mfn_rate,tariff_year
USA,USA,6433593498.0,-10.640702489649174,6041101666.857931,-6.100662580936798,90026.5163005744,3.8,64.2697196,5,100.0,0.0,0.0,2022
GBR,United Kingdom,1825778303.436,6.571137305582461,1647478107.1887133,-9.76570900813845,57601.9621201954,3.7,70.2964669,5,100.0,0.0,0.0,2022
JPN,Japan,867743868.685,-1.575787294086375,827771763.0499222,-4.606440572798562,35951.0449549304,3.9,85.270442,5,100.0,0.0,0.0,2022
CAN,Canada,772380931.709,4.968642713791873,719097740.6871144,-6.8985637571333065,55697.6639660837,4.0,76.1173365,5,100.0,3.0,4.75,2022
AUS,Australia,603201415.975,4.4956844383530346,566700885.1664863,-6.051134802048698,65129.7227990563,3.7,79.4447025,5,100.0,5.0,5.0,2022
SGP,Singapore,222004815.332,1.3380279740155825,217514678.05477032,-2.0225404888244576,98813.9788172877,4.3,86.9368376,5,100.0,0.0,0.0,2022
IND,India,73693910.889,52.086557071376006,62931564.4981472,-14.60411893061745,2702.47987141553,3.4,52.4723123,5,100.0,23.75,25.0,2022
