reporterISO,reporterDesc,demand,growth_percentage,gdp_per_capita,logistics_lpi,demand_log,demand_norm,growth_norm,gdp_norm,logistics_norm,market_score,market_score_100,rank
USA,USA,7199691221.0,-5.715290172917209,86169.6641581917,3.8,22.697303976215466,1.0,0.15963609398699075,0.6239986760469878,0.7727272727272727,0.6726360449158866,67.26360449158865,1
CHE,Switzerland,664715571.551,-3.0778730931590115,107702.065940312,4.1,20.3148697966763,0.7461689871855572,0.18711425737466758,0.7808654673484389,0.909090909090909,0.6284271761824806,62.84271761824806,2
SGP,Singapore,219073549.95,11.15465415661625,94896.5621495988,4.3,19.20491808048285,0.6279117145539962,0.33539710281098445,0.6875754428089681,1.0,0.605759194945589,60.5759194945589,3
DEU,Germany,2258093198.564,-5.471359121039498,56103.7323182554,4.1,21.537786577094003,0.8764618647924619,0.1621775112509747,0.404963832514799,0.909090909090909,0.6003766510337759,60.03766510337759,4
NLD,Netherlands,843992979.435,-8.923797632131969,67465.3208126875,4.1,20.553654735505503,0.7716097835728787,0.12620797491112357,0.4877347165640167,0.909090909090909,0.5677960880878159,56.77960880878159,5
IRL,Ireland,163731005.955,2.1558281749987307,112894.953240805,3.6,18.913735437691432,0.5968883243724347,0.24164203747910015,0.8186964337525118,0.6818181818181819,0.5530957512680236,55.30957512680236,6
GBR,United Kingdom,1713201481.749,-7.498984512067097,53341.3131094262,3.7,21.261629669190174,0.8470393572449533,0.14105251656914514,0.3848391923607056,0.7272727272727274,0.5530849937748605,55.30849937748605,7
FRA,France,1488445256.97,-6.769809151153561,46103.0840855884,3.9,21.120997961102915,0.8320560728360137,0.14864949463500618,0.33210760332741457,0.8181818181818182,0.5517011214541624,55.17011214541624,8
CAN,Canada,735820633.42,-2.375737703185743,55015.7066917734,4.0,20.416496943758997,0.7569966196527982,0.19442951710890896,0.3970374018914532,0.8636363636363636,0.5506374862066463,55.06374862066463,9
DNK,Denmark,333523163.187,-4.033913725220573,71026.4832271897,4.1,19.625222878739955,0.6726921301258576,0.17715366339252278,0.5136783213192537,0.909090909090909,0.5436068853563347,54.36068853563347,10
AUT,Austria,477890248.121,-2.0871879612806343,58268.8787651601,4.0,19.984891659743244,0.7110122196141054,0.1974357981459103,0.42073725060630524,0.8636363636363636,0.5375849521415399,53.75849521415399,11
NOR,Norway,281098415.76,-3.8734567171209933,89888.9535204758,3.7,19.45421540355923,0.6544725289310995,0.17882539893981142,0.651094259442036,0.7272727272727274,0.5368638523397185,53.68638523397185,12
AUS,Australia,577250074.218,-4.424892947475955,64609.9865116088,3.7,20.173786136502898,0.7311375505729786,0.173080211744403,0.46693317596323186,0.7272727272727274,0.5295486068616275,52.95486068616275,13
ESP,Spain,675894610.212,0.7778254250816241,35326.7683069278,3.9,20.331547721279517,0.7479458986024745,0.22728519380750242,0.2536005191964947,0.8181818181818182,0.518082774769062,51.8082774769062,14
BEL,Belgium,364914166.269,-4.866215698821819,56581.9375642531,4.0,19.715172725725626,0.6822756313024961,0.16848225158055496,0.4084476297837813,0.8636363636363636,0.5178416833393203,51.78416833393204,15
HKG,"China, Hong Kong SAR",248471363.169,3.817119627296983,54274.7547767073,4.0,19.330838162128533,0.6413275822964507,0.2589503495815559,0.39163945554987983,0.8636363636363636,0.516194448490322,51.619444849032206,16
SWE,Sweden,311720193.585,-6.146818567183654,57222.7100565003,4.0,19.55761653116952,0.6654891661053329,0.15514017719966097,0.4131157539359377,0.8636363636363636,0.5093923072147074,50.93923072147074,17
LUX,Luxembourg,44867118.834,-10.014268296305351,137781.681659123,3.6,17.61921578676782,0.4589666823291282,0.11484680973569679,1.0,0.6818181818181819,0.508828762151518,50.882876215151796,18
JPN,Japan,881636585.987,-9.648004059754022,33797.1014287876,3.9,20.59729049616763,0.7762588561134426,0.11866276611675686,0.24245666551208087,0.8181818181818182,0.5054547014984173,50.545470149841734,19
ITA,Italy,481309995.631,2.1320203472739996,40429.6224047352,3.7,19.992022104119975,0.7117719165381619,0.24139399351777652,0.29077558015356764,0.7272727272727274,0.5002335904404427,50.02335904404427,20
FIN,Finland,106947705.839,-3.8083984708315533,53155.5451165897,4.2,18.487850551832242,0.5515133911010727,0.17950321403965938,0.3834858445429545,0.9545454545454547,0.4763849863387701,47.638498633877006,21
SAU,Saudi Arabia,257778423.689,13.862687362125502,35527.786181866,3.4,19.36761095485466,0.64524545557994,0.363610986557828,0.25506496470307893,0.5909090909090909,0.470469736120521,47.0469736120521,22
ISL,Iceland,35234600.617,8.483832909705669,85863.1479330343,3.6,17.377539158222692,0.4332177974600167,0.30757091514990503,0.6217656591634648,0.6818181818181819,0.46142716111940796,46.14271611194079,23
ISR,Israel,176939000.0,-4.648959619506687,54216.5218142787,3.6,18.991315604021885,0.6051539261519477,0.17074575328083763,0.39121521964454126,0.6818181818181819,0.4567264923185822,45.67264923185822,24
KOR,Rep. of Korea,217073667.0,-8.8991452653722,36238.639908315,3.8,19.19574733776409,0.6269346386991601,0.12646481777716734,0.2602436412056383,0.7727272727272727,0.4440246381853161,44.402463818531615,25
POL,Poland,363738958.0,-6.416699290788042,25103.565661423,3.6,19.7119470227247,0.6819319561374924,0.1523284009829597,0.17912294757898561,0.6818181818181819,0.4413357794401134,44.133577944011336,26
PRT,Portugal,192764125.801,10.075090580298362,29328.3067415343,3.4,19.076977858518443,0.6142806155713532,0.3241495740961983,0.2099008228955602,0.5909090909090909,0.4411586892632566,44.11586892632566,27
GRC,Greece,144004796.335,8.485599454193737,24626.1481858973,3.7,18.785357171811736,0.5832105550004772,0.3075893200500807,0.17564488933658637,0.7272727272727274,0.4390219729684335,43.90219729684335,28
